id,title,filtered_words_str,label
R129,New Report on Election,"issue,force,recent.,really,reduce,beyond.,experts,discuss,ongoing,developments,election.",REAL
R227,New Report on Climate Change,"western,form,republican.,laugh,degree,see,director,investment,lead.,experts,discuss,ongoing,developments,climate,change.",REAL
F231,Aliens Confirmed by Sources,"maintain,likely,college,thousand,already,middle.,approach,break,community,song,officer,health,music,explain.,—,shocking,claims,aliens,surface,internet.",FAKE
R066,New Report on Policy,"believe,door,good,program,the.,sure,heavy.,either,sure,sign,stay,southern.,experts,discuss,ongoing,developments,policy.",REAL
F095,Mind Control Confirmed by Sources,"together,realize,experience.,particularly,issue,without.,—,shocking,claims,mind,control,surface,internet.",FAKE
R174,New Report on Policy,"apply,several,away.,compare,arm,term,alone,another,material,billion.,experts,discuss,ongoing,developments,policy.",REAL
R201,New Report on Public Health,"performance,short,together.,education,interview,civil,yeah,spring,remain,serve.,experts,discuss,ongoing,developments,public,health.",REAL
R072,New Report on Education,"win,glass,state.,production,teach,plant,recently,money,sound.,experts,discuss,ongoing,developments,education.",REAL
R064,New Report on Research,"range,guy,option,vote,movement,level,effect.,bag,day,matter.,style,career,official,development.,mission,rock,father,realize,three.,experts,discuss,ongoing,developments,research.",REAL
F037,Miracle Drug Confirmed by Sources,"model,executive,threat,many.,—,shocking,claims,miracle,drug,surface,internet.",FAKE
R170,New Report on Technology Breakthrough,"ever,west,human.,catch,effect,specific,among,administration,reduce.,experts,discuss,ongoing,developments,technology,breakthrough.",REAL
F110,Celebrity Scandal Confirmed by Sources,"challenge,buy,consumer,move,threat.,listen,impact,field,mr,family.,—,shocking,claims,celebrity,scandal,surface,internet.",FAKE
F048,Secret Cure Confirmed by Sources,"law,various,available.,wish,cup,store,happen,conference.,—,shocking,claims,secret,cure,surface,internet.",FAKE
F082,Hoax Confirmed by Sources,"contain,politics,least,agreement.,—,shocking,claims,hoax,surface,internet.",FAKE
F187,Miracle Drug Confirmed by Sources,"worry,fire,everything,heart,sell,year,continue,east.,hair,book,draw,their.,color,foot,alone,theory,case,four,foot.,hold,maybe,war,may,television,knowledge.,—,shocking,claims,miracle,drug,surface,internet.",FAKE
F027,Miracle Drug Confirmed by Sources,"country,professor,candidate,church,everything,nice,interest.,behind,stock,us,act,turn,they.,story,health,drug.,—,shocking,claims,miracle,drug,surface,internet.",FAKE
F202,Hoax Confirmed by Sources,"everyone,science,american,bag,mention.,take,notice,event,write,hear.,—,shocking,claims,hoax,surface,internet.",FAKE
F197,Secret Cure Confirmed by Sources,"name,world,sort,mother,class.,—,shocking,claims,secret,cure,surface,internet.",FAKE
R128,New Report on Climate Change,"appear,health,gas,somebody,meet,physical,beyond.,right,couple,first,until.,experts,discuss,ongoing,developments,climate,change.",REAL
F157,Government Cover-Up Confirmed by Sources,"officer,cover,prepare,condition.,nature,truth,reality,win,lead,water,glass.,—,shocking,claims,government,cover-up,surface,internet.",FAKE
F117,Hoax Confirmed by Sources,"artist,thought,step,stage,enter,accept,style.,person,field,let,remain,responsibility.,—,shocking,claims,hoax,surface,internet.",FAKE
F173,Secret Cure Confirmed by Sources,"cut,man,none,address,project.,peace,ahead,north,including,subject.,—,shocking,claims,secret,cure,surface,internet.",FAKE
F024,Aliens Confirmed by Sources,"key,drive,notice,condition,collection,wind,president.,however,total,heavy,seek,particularly,we.,—,shocking,claims,aliens,surface,internet.",FAKE
F096,Celebrity Scandal Confirmed by Sources,"exist,top,particular,establish,run,stock.,fight,store,guess,house,today,seek,able.,plan,ahead,security,investment,apply.,—,shocking,claims,celebrity,scandal,surface,internet.",FAKE
R247,New Report on Public Health,"close,one,wait,north,feel.,language,first,point,work,son,trade.,experts,discuss,ongoing,developments,public,health.",REAL
F226,Government Cover-Up Confirmed by Sources,"minute,page,week,material.,every,economy,experience,away,top,west.,minute,program,worker.,—,shocking,claims,government,cover-up,surface,internet.",FAKE
F100,Flat Earth Confirmed by Sources,"tax,official,front.,political,never,cup,career.,—,shocking,claims,flat,earth,surface,internet.",FAKE
F246,Government Cover-Up Confirmed by Sources,"late,discuss,try,top,bar.,identify,rather,deal,start,practice,door,world,out.,young,project,common,quite,onto,present.,—,shocking,claims,government,cover-up,surface,internet.",FAKE
F183,Aliens Confirmed by Sources,"money,street,land,decision,until.,doctor,even,talk,miss,alone.,financial,follow,nature,situation,cultural.,—,shocking,claims,aliens,surface,internet.",FAKE
R063,New Report on Policy,"factor,special,generation,treatment.,common,development,crime,travel.,experts,discuss,ongoing,developments,policy.",REAL
R005,New Report on Election,"lawyer,letter,sometimes,send,save.,enter,consumer,set,significant,as.,peace,far,tonight.,experts,discuss,ongoing,developments,election.",REAL
R084,New Report on Election,"mind,although,wind,white.,put,cup,top,time,church,job.,experts,discuss,ongoing,developments,election.",REAL
R124,New Report on Education,"vote,need,court.,international,ever,pressure,network,group.,experts,discuss,ongoing,developments,education.",REAL
R118,New Report on Research,"let,help,group,writer.,suffer,better,term,along,become.,experts,discuss,ongoing,developments,research.",REAL
F001,Aliens Confirmed by Sources,"project,according,finally,not.,collection,better,hour.,—,shocking,claims,aliens,surface,internet.",FAKE
F007,Immortal Jellyfish Confirmed by Sources,"line,election,early,local.,decide,impact,something,note,read.,—,shocking,claims,immortal,jellyfish,surface,internet.",FAKE
F046,Mind Control Confirmed by Sources,"think,range,notice,full,little,staff,research.,speak,manage,do.,investment,believe,cultural,official,start,star.,—,shocking,claims,mind,control,surface,internet.",FAKE
R103,New Report on Research,"candidate,include,computer.,house,product,within,left,per,ready.,court,able,week.,experts,discuss,ongoing,developments,research.",REAL
R037,New Report on Budget Report,"leave,beat,remember,north.,foreign,drop,method,rise.,type,decide,individual,vote,watch,spring,hospital.,experts,discuss,ongoing,developments,budget,report.",REAL
F193,Secret Cure Confirmed by Sources,"remember,travel,doctor,red,close,young.,exactly,street,so.,—,shocking,claims,secret,cure,surface,internet.",FAKE
R166,New Report on Election,"audience,occur,street,player,half,husband,drug.,quite,million,blue,reason,possible.,price,enough,capital,management,foot.,experts,discuss,ongoing,developments,election.",REAL
F017,Immortal Jellyfish Confirmed by Sources,"firm,walk,nothing,better,represent.,indeed,personal,amount,born,action,training.,us,star,mind,season,approach,bank.,—,shocking,claims,immortal,jellyfish,surface,internet.",FAKE
R008,New Report on Economic Growth,"ask,forget,upon,term.,quickly,else,we.,indeed,report,song,soon.,look,drop,owner,test,business,nice,operation.,experts,discuss,ongoing,developments,economic,growth.",REAL
F071,Celebrity Scandal Confirmed by Sources,"want,boy,practice.,mr,blue,economic,court.,—,shocking,claims,celebrity,scandal,surface,internet.",FAKE
F028,Mind Control Confirmed by Sources,"citizen,media,baby,forget.,kid,interest,leader.,executive,lead,kitchen,policy.,—,shocking,claims,mind,control,surface,internet.",FAKE
F227,Immortal Jellyfish Confirmed by Sources,"return,accept,draw,bank.,animal,school,generation,cover,real,throughout.,—,shocking,claims,immortal,jellyfish,surface,internet.",FAKE
R200,New Report on Public Health,"save,similar,hour,remember,agency,president.,far,vote,employee,ok.,experts,discuss,ongoing,developments,public,health.",REAL
R225,New Report on Climate Change,"create,travel,today,prevent,information.,important,eat,give,sort,dark.,anyone,protect,perhaps,single.,experts,discuss,ongoing,developments,climate,change.",REAL
R062,New Report on Budget Report,"west,account,boy,minute,class.,else,end,old,heart,score,mr,pass.,ready,theory,ground,area.,experts,discuss,ongoing,developments,budget,report.",REAL
F033,Hoax Confirmed by Sources,"effort,cut,choice,list,sometimes,conference,operation.,need,knowledge,expect,notice.,—,shocking,claims,hoax,surface,internet.",FAKE
F012,Hoax Confirmed by Sources,"walk,level,especially,structure,issue,wonder,receive,benefit.,show,street,letter,fall,speak,while.,—,shocking,claims,hoax,surface,internet.",FAKE
R121,New Report on Research,"mouth,structure,question,force,really.,old,bed,affect,floor,political,upon.,film,full,movement,manager.,experts,discuss,ongoing,developments,research.",REAL
F210,Aliens Confirmed by Sources,"issue,garden,control,since.,kind,loss,laugh,or.,black,bag,rather,child.,trial,little,cold,inside,piece,rich,leg.,—,shocking,claims,aliens,surface,internet.",FAKE
F151,Hoax Confirmed by Sources,"short,first,me.,goal,anything,energy,actually,across.,century,discuss,win,analysis,treatment.,—,shocking,claims,hoax,surface,internet.",FAKE
F099,Secret Cure Confirmed by Sources,"whatever,data,two,property,senior.,drop,toward,worker,professor,go,doctor.,—,shocking,claims,secret,cure,surface,internet.",FAKE
R090,New Report on Technology Breakthrough,"tough,material,player,build.,interview,tell,matter,buy,lawyer,player.,describe,today,start,another,natural,different,between.,experts,discuss,ongoing,developments,technology,breakthrough.",REAL
R125,New Report on Budget Report,"blood,expect,still,form,rock,because.,voice,new,try,perhaps,television,quickly.,experts,discuss,ongoing,developments,budget,report.",REAL
R091,New Report on Climate Change,"participant,might,exactly,team,fall,despite,entire.,start,career,defense,day.,reach,lay,position,former,red.,experts,discuss,ongoing,developments,climate,change.",REAL
R157,New Report on Climate Change,"father,gun,agent,person,baby,power,nor.,talk,anything,brother,thus,hold,program,change.,experts,discuss,ongoing,developments,climate,change.",REAL
F098,Miracle Drug Confirmed by Sources,"fund,whether,doctor,yeah,win,watch,hot,seem.,—,shocking,claims,miracle,drug,surface,internet.",FAKE
F164,Immortal Jellyfish Confirmed by Sources,"especially,public,rather,around,story.,window,health,strategy,stock,want,establish,grow,safe.,—,shocking,claims,immortal,jellyfish,surface,internet.",FAKE
R050,New Report on Economic Growth,"science,lose,today,someone,marriage,i.,statement,establish,whatever,understand,debate,business.,chair,animal,three,mr.,experts,discuss,ongoing,developments,economic,growth.",REAL
R249,New Report on Climate Change,"state,southern,pull,show.,population,sign,understand,voice,report.,ball,performance,figure,able,wife,beyond,direction.,affect,candidate,physical,operation,tonight,practice,child,defense.,experts,discuss,ongoing,developments,climate,change.",REAL
R093,New Report on Election,"partner,always,race,true,deep.,experts,discuss,ongoing,developments,election.",REAL
R131,New Report on Education,"former,end,share,there.,sit,chance,office,national,crime.,behavior,democrat,mission.,experts,discuss,ongoing,developments,education.",REAL
F107,Flat Earth Confirmed by Sources,"view,issue,get,where.,standard,successful,anything,training,second,effort,community.,phone,century,vote,want,seek.,—,shocking,claims,flat,earth,surface,internet.",FAKE
F153,Hoax Confirmed by Sources,"kind,attention,guess,back,cost,next,fire.,lawyer,commercial.,measure,guess,agent,full,exist,quickly,serious.,give,lay.,—,shocking,claims,hoax,surface,internet.",FAKE
F091,Flat Earth Confirmed by Sources,"address,marriage,increase,ability,job,young,travel.,miss,end,probably,low,our.,support,structure,back,medical.,—,shocking,claims,flat,earth,surface,internet.",FAKE
R246,New Report on Economic Growth,"piece,difficult,middle,dark,new.,beyond,wonder,water,since,we.,experts,discuss,ongoing,developments,economic,growth.",REAL
F004,Secret Cure Confirmed by Sources,"vote,field,vote,away.,theory,theory,summer,recent,anyone,really,fund.,—,shocking,claims,secret,cure,surface,internet.",FAKE
F220,Celebrity Scandal Confirmed by Sources,"sister,compare,charge,across,no.,—,shocking,claims,celebrity,scandal,surface,internet.",FAKE
F121,Hoax Confirmed by Sources,"send,street,live,mrs,operation,charge,past,nothing.,—,shocking,claims,hoax,surface,internet.",FAKE
F245,Mind Control Confirmed by Sources,"edge,modern,maybe,college,middle,impact.,—,shocking,claims,mind,control,surface,internet.",FAKE
R035,New Report on Climate Change,"friend,work,hope,grow,various,almost,ability.,father,money,job,voice,well,finally,throw,stay.,experts,discuss,ongoing,developments,climate,change.",REAL
R024,New Report on Education,"city,popular,law,first.,fear,baby,prove,mr.,evidence,item,choice,and.,experts,discuss,ongoing,developments,education.",REAL
F079,Miracle Drug Confirmed by Sources,"industry,commercial,shoulder,scene,next.,mention,physical,service,building.,—,shocking,claims,miracle,drug,surface,internet.",FAKE
R094,New Report on Policy,"show,model,might,mrs,away.,idea,discover,audience,thank,book,father.,food,good,put,example,interest.,experts,discuss,ongoing,developments,policy.",REAL
R040,New Report on Policy,"north,performance,political.,agreement,car,buy,drug,human,wall,woman.,experts,discuss,ongoing,developments,policy.",REAL
F170,Immortal Jellyfish Confirmed by Sources,"follow,project,defense,work,together,yet.,get,training,generation,western,popular.,—,shocking,claims,immortal,jellyfish,surface,internet.",FAKE
F130,Immortal Jellyfish Confirmed by Sources,"already,training,five.,blue,impact,question,son,either,last.,door,middle,produce,get,audience,theory.,leg,news,travel,smile.,—,shocking,claims,immortal,jellyfish,surface,internet.",FAKE
R085,New Report on Economic Growth,"piece,cost,whose,recent.,check,radio,agreement,finish.,experts,discuss,ongoing,developments,economic,growth.",REAL
R054,New Report on Budget Report,"lay,reveal,lot,moment,mouth.,tax,win,particularly,relate.,cell,positive,fish,front,toward,help.,experts,discuss,ongoing,developments,budget,report.",REAL
